,NAV
2013-03-28,0.549053112749186
2013-03-29,0.5492299918976787
2013-04-01,0.547804250952667
2013-04-02,0.5485047884019817
2013-04-03,0.5420647827669589
2013-04-08,0.5416984878629896
2013-04-09,0.5407630246813252
2013-04-10,0.5378328376909527
2013-04-11,0.5305366921680632
2013-04-12,0.5187500813087633
2013-04-15,0.5224257352749264
2013-04-16,0.5259151562562597
2013-04-17,0.5278046278264761
2013-04-18,0.5280405443725857
2013-04-19,0.5233381741135392
2013-04-22,0.5245248393406792
2013-04-23,0.521691709182898
2013-04-24,0.5293224258791974
2013-04-25,0.5282742334619611
2013-04-26,0.5280984275544889
2013-05-02,0.5207720759104005
2013-05-03,0.5207162197415202
2013-05-06,0.5189335912674355
2013-05-07,0.520450340998806
2013-05-08,0.5227683067642398
2013-05-09,0.5214514167700474
2013-05-10,0.5236484097509212
2013-05-13,0.5259277651158715
2013-05-14,0.5246700908872975
2013-05-15,0.5267172782147579
2013-05-16,0.5225180077009287
2013-05-17,0.5223433662718925
2013-05-20,0.5212766565822818
2013-05-21,0.5177588944565449
2013-05-22,0.5210613285018109
2013-05-23,0.5196582275078465
2013-05-24,0.5190196007952574
2013-05-27,0.5212155525302542
2013-05-28,0.5215977887312468
2013-05-29,0.520668189934538
2013-05-30,0.5229913637243601
2013-05-31,0.5238145666545019
2013-06-03,0.5207217301628286
2013-06-04,0.5178713378174987
2013-06-05,0.5107023579977562
2013-06-06,0.5119820916246522
2013-06-07,0.5131137209539272
2013-06-13,0.5143956024730114
2013-06-14,0.5135706354071207
2013-06-17,0.5166143850798761
2013-06-18,0.5194508539881001
2013-06-19,0.5218541475272038
2013-06-20,0.5230507875758054
2013-06-21,0.5243959877544774
2013-06-24,0.5268745502638397
2013-06-25,0.5253500203740878
2013-06-26,0.5251995877563138
2013-06-27,0.5268628255603026
2013-06-28,0.5222587048639971
2013-07-01,0.5237602788047488
2013-07-02,0.5260022679887818
2013-07-03,0.53018793858456
2013-07-04,0.531541765151511
2013-07-05,0.5302659650042915
2013-07-08,0.527803218217048
2013-07-09,0.5290030782393949
2013-07-10,0.5270576911413738
2013-07-11,0.5300702248129386
2013-07-12,0.5288205064802018
2013-07-15,0.5296118714605252
2013-07-16,0.5327151473554331
2013-07-17,0.5390733815209132
2013-07-18,0.5423109231486586
2013-07-19,0.5436914899823893
2013-07-22,0.5464140362498396
2013-07-23,0.5438863563263071
2013-07-24,0.5501270477140368
2013-07-25,0.5511743225686372
2013-07-26,0.5640845051820138
2013-07-29,0.559808661609937
2013-07-30,0.562523261424007
2013-07-31,0.5679625395600608
2013-08-01,0.5690378290711604
2013-08-02,0.5701492951205273
2013-08-05,0.5664282360770112
2013-08-06,0.5707798727436834
2013-08-07,0.5759647143886097
2013-08-08,0.5780335428609797
2013-08-09,0.5779622519148018
2013-08-12,0.5778283940907855
2013-08-13,0.5814808055822992
